cluster	cluster_Broad	cluster_Narrow	cluster_Simple
uninducible	uninducible	typical	uninducible
inducible	inducible	typical	inducible
constitutive	constitutive	typical	constitutive
leaky glucose	inducible	leaky glucose	leaky
partially inducible	uninducible	weakly inducible	uninducible
partially constitutive	constitutive	partially constitutive	leaky
const, low expr	uninducible	weak expression	uninducible
weak expr, induc	uninducible	low max expression	weak expr
weak expr, const	uninducible	low max expression	weak expr
