"sample_flow_rate"	"sample_volume"	"record_sample_volume"	"mixing_volume"	"mixing_speed"	"number_mixes"	"wash_volume"	"tube.name"	"plate.num"	"samp_id"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"D12"	"Plate_001"	"170705-Plate_001.D12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E1"	"Plate_001"	"170705-Plate_001.E1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E2"	"Plate_001"	"170705-Plate_001.E2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E3"	"Plate_001"	"170705-Plate_001.E3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E4"	"Plate_001"	"170705-Plate_001.E4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E5"	"Plate_001"	"170705-Plate_001.E5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E6"	"Plate_001"	"170705-Plate_001.E6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E7"	"Plate_001"	"170705-Plate_001.E7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E8"	"Plate_001"	"170705-Plate_001.E8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E9"	"Plate_001"	"170705-Plate_001.E9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E10"	"Plate_001"	"170705-Plate_001.E10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E11"	"Plate_001"	"170705-Plate_001.E11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"E12"	"Plate_001"	"170705-Plate_001.E12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F1"	"Plate_001"	"170705-Plate_001.F1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F2"	"Plate_001"	"170705-Plate_001.F2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F3"	"Plate_001"	"170705-Plate_001.F3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F4"	"Plate_001"	"170705-Plate_001.F4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F5"	"Plate_001"	"170705-Plate_001.F5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F6"	"Plate_001"	"170705-Plate_001.F6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F7"	"Plate_001"	"170705-Plate_001.F7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F8"	"Plate_001"	"170705-Plate_001.F8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F9"	"Plate_001"	"170705-Plate_001.F9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F10"	"Plate_001"	"170705-Plate_001.F10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F11"	"Plate_001"	"170705-Plate_001.F11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"F12"	"Plate_001"	"170705-Plate_001.F12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G1"	"Plate_001"	"170705-Plate_001.G1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G2"	"Plate_001"	"170705-Plate_001.G2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G3"	"Plate_001"	"170705-Plate_001.G3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G4"	"Plate_001"	"170705-Plate_001.G4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G5"	"Plate_001"	"170705-Plate_001.G5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G6"	"Plate_001"	"170705-Plate_001.G6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G7"	"Plate_001"	"170705-Plate_001.G7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G8"	"Plate_001"	"170705-Plate_001.G8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G9"	"Plate_001"	"170705-Plate_001.G9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G10"	"Plate_001"	"170705-Plate_001.G10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G11"	"Plate_001"	"170705-Plate_001.G11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"G12"	"Plate_001"	"170705-Plate_001.G12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H1"	"Plate_001"	"170705-Plate_001.H1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H2"	"Plate_001"	"170705-Plate_001.H2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H3"	"Plate_001"	"170705-Plate_001.H3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H4"	"Plate_001"	"170705-Plate_001.H4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H5"	"Plate_001"	"170705-Plate_001.H5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H6"	"Plate_001"	"170705-Plate_001.H6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H7"	"Plate_001"	"170705-Plate_001.H7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H8"	"Plate_001"	"170705-Plate_001.H8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H9"	"Plate_001"	"170705-Plate_001.H9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H10"	"Plate_001"	"170705-Plate_001.H10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H11"	"Plate_001"	"170705-Plate_001.H11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"H12"	"Plate_001"	"170705-Plate_001.H12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A1"	"Plate_002"	"170705-Plate_002.A1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A2"	"Plate_002"	"170705-Plate_002.A2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A3"	"Plate_002"	"170705-Plate_002.A3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A4"	"Plate_002"	"170705-Plate_002.A4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A5"	"Plate_002"	"170705-Plate_002.A5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A6"	"Plate_002"	"170705-Plate_002.A6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A7"	"Plate_002"	"170705-Plate_002.A7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A8"	"Plate_002"	"170705-Plate_002.A8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A9"	"Plate_002"	"170705-Plate_002.A9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A10"	"Plate_002"	"170705-Plate_002.A10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A11"	"Plate_002"	"170705-Plate_002.A11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"A12"	"Plate_002"	"170705-Plate_002.A12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B1"	"Plate_002"	"170705-Plate_002.B1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B2"	"Plate_002"	"170705-Plate_002.B2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B3"	"Plate_002"	"170705-Plate_002.B3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B4"	"Plate_002"	"170705-Plate_002.B4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B5"	"Plate_002"	"170705-Plate_002.B5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B6"	"Plate_002"	"170705-Plate_002.B6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B7"	"Plate_002"	"170705-Plate_002.B7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B8"	"Plate_002"	"170705-Plate_002.B8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B9"	"Plate_002"	"170705-Plate_002.B9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B10"	"Plate_002"	"170705-Plate_002.B10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B11"	"Plate_002"	"170705-Plate_002.B11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"B12"	"Plate_002"	"170705-Plate_002.B12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C1"	"Plate_002"	"170705-Plate_002.C1"
