x
170705-Plate_018.B7
170706-Plate_018.B7
170707-Plate_007.B5
170707-Plate_007.C5
170707-Plate_007.D5
170707-Plate_007.E5
170707-Plate_007.F5
170707-Plate_007.G5
170707-Plate_007.H5
170707-Plate_008.B5
170707-Plate_008.C5
170707-Plate_008.D5
170707-Plate_008.E5
170707-Plate_008.F5
170707-Plate_008.G5
170707-Plate_008.H5
170707-Plate_023.H7
170707-Plate_024.B1
170707-Plate_024.H7
170708-Plate_007.B5
170708-Plate_007.C5
170708-Plate_007.D5
170708-Plate_007.E5
170708-Plate_007.F5
170708-Plate_007.G5
170708-Plate_007.H5
170708-Plate_008.B5
170708-Plate_008.C5
170708-Plate_008.D5
170708-Plate_008.E5
170708-Plate_008.F5
170708-Plate_008.G5
170708-Plate_008.H5
170708-Plate_013.A2
170708-Plate_015.A1
170708-Plate_015.B1
170708-Plate_015.G11
170708-Plate_023.H7
170708-Plate_024.H7
170711-Plate_001.H10
170711-Plate_001.H11
170711-Plate_001.H12
170711-Plate_001.H1
170711-Plate_001.H2
170711-Plate_001.H3
170711-Plate_001.H4
170711-Plate_001.H5
170711-Plate_001.H6
170711-Plate_001.H7
170711-Plate_001.H8
170711-Plate_001.H9
170711-Plate_002.H10
170711-Plate_002.H11
170711-Plate_002.H12
170711-Plate_002.H1
170711-Plate_002.H2
170711-Plate_002.H3
170711-Plate_002.H4
170711-Plate_002.H5
170711-Plate_002.H6
170711-Plate_002.H7
170711-Plate_002.H8
170711-Plate_002.H9
170711-Plate_003.E10
170711-Plate_003.E12
170711-Plate_003.E9
170711-Plate_004.E10
170711-Plate_004.E12
170711-Plate_004.E9
170711-Plate_013.D10
170711-Plate_013.D9
170711-Plate_014.D10
170711-Plate_014.D9
170712-Plate_001.H10
170712-Plate_001.H11
170712-Plate_001.H12
170712-Plate_001.H1
170712-Plate_001.H2
170712-Plate_001.H3
170712-Plate_001.H4
170712-Plate_001.H5
170712-Plate_001.H6
170712-Plate_001.H7
170712-Plate_001.H8
170712-Plate_001.H9
170712-Plate_002.A1
170712-Plate_002.H10
170712-Plate_002.H11
170712-Plate_002.H12
170712-Plate_002.H1
170712-Plate_002.H2
170712-Plate_002.H3
170712-Plate_002.H4
170712-Plate_002.H5
170712-Plate_002.H6
170712-Plate_002.H7
170712-Plate_002.H8
170712-Plate_002.H9
170712-Plate_003.E10
170712-Plate_003.E12
170712-Plate_003.E9
170712-Plate_004.E10
170712-Plate_004.E12
170712-Plate_004.E9
170712-Plate_004.G8
170712-Plate_008.D10
170712-Plate_010.H7
170712-Plate_013.A2
170712-Plate_013.D10
170712-Plate_013.D9
170712-Plate_014.D10
170712-Plate_014.D9
170712-Plate_021.E6
170717-Plate_001.C9
170717-Plate_001.D10
170717-Plate_001.D9
170717-Plate_001.E9
170717-Plate_001.F7
170717-Plate_001.G6
170717-Plate_002.D10
170717-Plate_002.D9
170717-Plate_002.F7
170717-Plate_002.F9
170717-Plate_002.G6
170717-Plate_003.F12
170717-Plate_005.A4
170717-Plate_005.B3
170717-Plate_005.C4
170717-Plate_005.D2
170717-Plate_005.D4
170717-Plate_005.E1
170717-Plate_005.E2
170717-Plate_005.E3
170717-Plate_005.E4
170717-Plate_005.F1
170717-Plate_005.F2
170717-Plate_005.F3
170717-Plate_005.G3
170717-Plate_006.A4
170717-Plate_006.B3
170717-Plate_006.C4
170717-Plate_006.D2
170717-Plate_006.D4
170717-Plate_006.E1
170717-Plate_006.E2
170717-Plate_006.E3
170717-Plate_006.E4
170717-Plate_006.F1
170717-Plate_006.F2
170717-Plate_006.F3
170717-Plate_006.G3
170718-Plate_001.C9
170718-Plate_001.D10
