"clone.named"	"HDB1"	"HDB2"
"GAL3.14 GAL80.WT GAL4.26"	"uninducible"	"uninducible"
"GAL3.14 GAL80.WT GAL4.27"	"uninducible"	"uninducible"
"GAL3.14 GAL80.WT GAL4.28"	"uninducible"	"uninducible"
"GAL3.14 GAL80.WT GAL4.29"	"uninducible"	"uninducible"
"GAL3.14 GAL80.WT GAL4.30"	"constitutive"	"constitutive"
"GAL3.14 GAL80.WT GAL4.32"	"uninducible"	"uninducible"
"GAL3.14 GAL80.WT GAL4.33"	"uninducible"	"uninducible"
"GAL3.14 GAL80.WT GAL4.34"	"uninducible"	"uninducible"
"GAL3.14 GAL80.WT GAL4.WT"	"uninducible"	"uninducible"
"GAL3.14 GAL80.WT GAL4.delta"	"uninducible"	"uninducible"
"GAL3.14 GAL80.delta GAL4.WT"	"constitutive"	"constitutive"
"GAL3.14 GAL80S-0 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.14 GAL80S-1 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.14 GAL80S-2 GAL4.WT"	"uninducible"	"uninducible"
