"clone.named"	"HDB1"	"HDB2"
"GAL3.14 GAL80S-V352E GAL4.WT"	"const, low expr 2"	"const, low expr"
"GAL3.15 GAL80.01 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.15 GAL80.02 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.15 GAL80.03 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.15 GAL80.04 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.15 GAL80.05 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.15 GAL80.06 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.15 GAL80.09 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.15 GAL80.10 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.15 GAL80.11 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.15 GAL80.12 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.15 GAL80.13 GAL4.WT"	"uninducible"	"uninducible"
